Full Date,Full Date Timestamp,Month,Day,Year,Transaction,Description,Account Name,Category
"Saturday, January 01, 2000",2000-01-02T00:00,1,1,2000,18.32,PAPA JOHN'S,Credit Card,Fast Food
"Saturday, January 01, 2000",2000-01-02T00:00,1,1,2000,281.33,THE LIMITED,Credit Card,Clothing
"Saturday, January 01, 2000",2000-01-02T00:00,1,1,2000,3.25,MCDONALDS,Credit Card,Fast Food
"Saturday, January 01, 2000",2000-01-02T00:00,1,1,2000,10.59,Subway,Credit Card,Fast Food
"Saturday, January 01, 2000",2000-01-02T00:00,1,1,2000,725,BILL PAY COUNTRYSIDE APARTMENTS,Savings,Mortgage & Rent
"Sunday, January 02, 2000",2000-01-03T00:00,1,2,2000,10.62,CACTUS CAFE BR3,Credit Card,Restaurants
"Sunday, January 02, 2000",2000-01-03T00:00,1,2,2000,11.44,CACTUS CAFE BR3,Credit Card,Restaurants
"Sunday, January 02, 2000",2000-01-03T00:00,1,2,2000,81.05,Kroger,Spending,Groceries
"Sunday, January 02, 2000",2000-01-03T00:00,1,2,2000,12.46,City Barbeque,Spending,Fast Food
"Sunday, January 02, 2000",2000-01-03T00:00,1,2,2000,100.3,BILL PAY DUKE ENERGY OHIO ON-LINE xxxxxx88888 ON 01-02,Bill Pay,Electricity
"Monday, January 03, 2000",2000-01-04T00:00,1,3,2000,243,CHARLOTTE RUSSE,Credit Card,Clothing
"Monday, January 03, 2000",2000-01-04T00:00,1,3,2000,13.35,CHIPOTLE,Credit Card,Restaurants
"Monday, January 03, 2000",2000-01-04T00:00,1,3,2000,11.56,Subway,Credit Card,Fast Food
"Monday, January 03, 2000",2000-01-04T00:00,1,3,2000,11.85,CAL STATE EAST BAY,Credit Card,Transportation
"Monday, January 03, 2000",2000-01-04T00:00,1,3,2000,15.14,FIREHOUSE NO. 37,Credit Card,Restaurants
"Tuesday, January 04, 2000",2000-01-05T00:00,1,4,2000,23,Wal-Mart,Spending,Groceries
"Tuesday, January 04, 2000",2000-01-05T00:00,1,4,2000,41.53,GoFundMe,Credit Card,Charity
"Tuesday, January 04, 2000",2000-01-05T00:00,1,4,2000,126.02,Target,Credit Card,Shopping
"Tuesday, January 04, 2000",2000-01-05T00:00,1,4,2000,13.25,Chipotle,Spending,Fast Food
"Tuesday, January 04, 2000",2000-01-05T00:00,1,4,2000,41.95,Kroger,Spending,Groceries
"Wednesday, January 05, 2000",2000-01-06T00:00,1,5,2000,9.15,Deluxe Mcc,Bill Pay,Fast Food
"Wednesday, January 05, 2000",2000-01-06T00:00,1,5,2000,61.55,Flip Flops,Cash,Entertainment
"Wednesday, January 05, 2000",2000-01-06T00:00,1,5,2000,194.74,PAYPAL INST XFER,Spending,Shopping
"Wednesday, January 05, 2000",2000-01-06T00:00,1,5,2000,527.1,JCPENNEY,Credit Card,Clothing
"Wednesday, January 05, 2000",2000-01-06T00:00,1,5,2000,53.2,PAYPAL INST XFER,Credit Card,Entertainment
"Thursday, January 06, 2000",2000-01-07T00:00,1,6,2000,297.69,TJ Maxx,Spending,Clothing
"Thursday, January 06, 2000",2000-01-07T00:00,1,6,2000,68.62,FOOD LION,CREDIT CARD,Groceries
"Thursday, January 06, 2000",2000-01-07T00:00,1,6,2000,34.13,Church,Cash,Charity
"Thursday, January 06, 2000",2000-01-07T00:00,1,6,2000,13,Cosmic Deli Corp,Spending,Restaurants
"Thursday, January 06, 2000",2000-01-07T00:00,1,6,2000,25.66,TEXACO 0012345,Checking,Gas & Fuel
"Friday, January 07, 2000",2000-01-08T00:00,1,7,2000,18.48,Grand Oriental Mcc,Spending,Restaurants
"Friday, January 07, 2000",2000-01-08T00:00,1,7,2000,97.79,Safeway,CREDIT CARD,Groceries
"Friday, January 07, 2000",2000-01-08T00:00,1,7,2000,77.01,KROGER,CREDIT CARD,Groceries
"Friday, January 07, 2000",2000-01-08T00:00,1,7,2000,286.58,Target,Spending,Shopping
"Friday, January 07, 2000",2000-01-08T00:00,1,7,2000,57.83,WILD RICE,Credit Card,Restaurants
"Saturday, January 08, 2000",2000-01-09T00:00,1,8,2000,8.57,CIOPPINOS ON THE WHAR,Credit Card,Restaurants
"Saturday, January 08, 2000",2000-01-09T00:00,1,8,2000,13.28,CHIPOTLE,Credit Card,Fast Food
"Saturday, January 08, 2000",2000-01-09T00:00,1,8,2000,8.14,Chipotle,Spending,Fast Food
"Saturday, January 08, 2000",2000-01-09T00:00,1,8,2000,361.07,Ross,Spending,Clothing
"Saturday, January 08, 2000",2000-01-09T00:00,1,8,2000,8.37,CACTUS CAFE BR3,Credit Card,Restaurants
"Sunday, January 09, 2000",2000-01-10T00:00,1,9,2000,13.59,HERTZ RENT-A-CAR,Credit Card,Transportation
"Sunday, January 09, 2000",2000-01-10T00:00,1,9,2000,21.69,Taco Mac Mcc,Spending,Restaurants
"Sunday, January 09, 2000",2000-01-10T00:00,1,9,2000,15.98,Iron Chef Grill,Spending,Restaurants
"Sunday, January 09, 2000",2000-01-10T00:00,1,9,2000,42.73,Catch A Fire,Spending,Restaurants
"Sunday, January 09, 2000",2000-01-10T00:00,1,9,2000,10.1,Chipotle,Spending,Fast Food
"Monday, January 10, 2000",2000-01-11T00:00,1,10,2000,13.11,Chipotle,Spending,Fast Food
"Monday, January 10, 2000",2000-01-11T00:00,1,10,2000,14.06,Hudson Grille Midt,Spending,Restaurants
"Monday, January 10, 2000",2000-01-11T00:00,1,10,2000,73.66,Buffalo Wild Wings,Spending,Restaurants
"Monday, January 10, 2000",2000-01-11T00:00,1,10,2000,27.76,PAPA JOHN'S,Credit Card,Fast Food
"Monday, January 10, 2000",2000-01-11T00:00,1,10,2000,15.05,Papa John's,Spending,Fast Food
"Tuesday, January 11, 2000",2000-01-12T00:00,1,11,2000,11.14,Chipotle,Spending,Fast Food
"Tuesday, January 11, 2000",2000-01-12T00:00,1,11,2000,50.03,UBER TECHNOLOGIES INC,Credit Card,Transportation
"Tuesday, January 11, 2000",2000-01-12T00:00,1,11,2000,13.98,Subway,Credit Card,Fast Food
"Tuesday, January 11, 2000",2000-01-12T00:00,1,11,2000,10.14,WAFFLE HOUSE,Credit Card,Fast Food
"Tuesday, January 11, 2000",2000-01-12T00:00,1,11,2000,27.75,TEXACO 0012345,Checking,Gas & Fuel
"Wednesday, January 12, 2000",2000-01-13T00:00,1,12,2000,79.97,Safeway,Credit Card,Groceries
"Wednesday, January 12, 2000",2000-01-13T00:00,1,12,2000,11.64,LENOX FOOD MARKET,Credit Card,Fast Food
"Wednesday, January 12, 2000",2000-01-13T00:00,1,12,2000,8.05,CHIPOTLE,Credit Card,Restaurants
"Wednesday, January 12, 2000",2000-01-13T00:00,1,12,2000,8.65,COLD STONE CREAMERY NEWPO,Credit Card,Restaurants
"Wednesday, January 12, 2000",2000-01-13T00:00,1,12,2000,12.66,Subway,Credit Card,Fast Food
"Thursday, January 13, 2000",2000-01-14T00:00,1,13,2000,8.82,SQ *SOUTHERN COMFORT KITC,Credit Card,Fast Food
"Thursday, January 13, 2000",2000-01-14T00:00,1,13,2000,79.5,Safeway,CREDIT CARD,Groceries
"Thursday, January 13, 2000",2000-01-14T00:00,1,13,2000,10.31,Chipotle,Spending,Fast Food
"Thursday, January 13, 2000",2000-01-14T00:00,1,13,2000,9.9,CHIPOTLE,Credit Card,Restaurants
"Thursday, January 13, 2000",2000-01-14T00:00,1,13,2000,153.52,LEVIS OUTLET ,Credit Card,Clothing
"Friday, January 14, 2000",2000-01-15T00:00,1,14,2000,18.62,PAPA JOHN'S,Credit Card,Fast Food
"Friday, January 14, 2000",2000-01-15T00:00,1,14,2000,10.5,UBER TECHNOLOGIES INC,Credit Card,Transportation
"Friday, January 14, 2000",2000-01-15T00:00,1,14,2000,13.85,CACTUS CAFE BR3,Credit Card,Restaurants
"Friday, January 14, 2000",2000-01-15T00:00,1,14,2000,40.37,HERTZ RENT-A-CAR,Credit Card,Transportation
"Friday, January 14, 2000",2000-01-15T00:00,1,14,2000,49.58,Castle Transportation,Spending,Transportation
"Saturday, January 15, 2000",2000-01-16T00:00,1,15,2000,22.49,GREAT NAILS & SPA,Credit Card,Spa & Massage
"Saturday, January 15, 2000",2000-01-16T00:00,1,15,2000,22.25,TOWER VALET Transportation,Credit Card,Transportation
"Saturday, January 15, 2000",2000-01-16T00:00,1,15,2000,11.48,Eat Hours Com,Spending,Fast Food
"Saturday, January 15, 2000",2000-01-16T00:00,1,15,2000,13.78,Chipotle,Spending,Fast Food
"Saturday, January 15, 2000",2000-01-16T00:00,1,15,2000,21.27,SUSHI X II,Credit Card,Restaurants
"Sunday, January 16, 2000",2000-01-17T00:00,1,16,2000,17.43,GOODFELLAS PIZZA AND W,Credit Card,Restaurants
"Sunday, January 16, 2000",2000-01-17T00:00,1,16,2000,27.36,Panera Bread,Cash,Fast Food
"Sunday, January 16, 2000",2000-01-17T00:00,1,16,2000,111.21,Food Lion,Spending,Groceries
"Sunday, January 16, 2000",2000-01-17T00:00,1,16,2000,230.23,Macy's,Credit Card,Christmas Gifts
"Sunday, January 16, 2000",2000-01-17T00:00,1,16,2000,44.26,Cnn Internatio Mcc,Spending,Uncategorized
"Monday, January 17, 2000",2000-01-18T00:00,1,17,2000,207.98,ROSS STORE,Credit Card,Clothing
"Monday, January 17, 2000",2000-01-18T00:00,1,17,2000,64.3,TIN LIZZY'S,Credit Card,Restaurants
"Monday, January 17, 2000",2000-01-18T00:00,1,17,2000,41.34,UBER TECHNOLOGIES INC,Credit Card,Transportation
"Monday, January 17, 2000",2000-01-18T00:00,1,17,2000,52.71,Prive,Spending,Entertainment
"Monday, January 17, 2000",2000-01-18T00:00,1,17,2000,11.29,CHIPOTLE,Credit Card,Fast Food
"Tuesday, January 18, 2000",2000-01-19T00:00,1,18,2000,8.61,Chipotle,Credit Card,Fast Food
"Tuesday, January 18, 2000",2000-01-19T00:00,1,18,2000,17.71,IHOP,Credit Card,Restaurants
"Tuesday, January 18, 2000",2000-01-19T00:00,1,18,2000,28.05,HERTZ RENT-A-CAR,Credit Card,Transportation
"Tuesday, January 18, 2000",2000-01-19T00:00,1,18,2000,99.26,Safeway,CREDIT CARD,Groceries
"Tuesday, January 18, 2000",2000-01-19T00:00,1,18,2000,11.25,CACTUS CAFE BR3,Credit Card,Restaurants
"Wednesday, January 19, 2000",2000-01-20T00:00,1,19,2000,56.75,CHIN CHIN RESTAURA,Credit Card,Restaurants
"Wednesday, January 19, 2000",2000-01-20T00:00,1,19,2000,9.22,DIGGERS DINER,Credit Card,Restaurants
"Wednesday, January 19, 2000",2000-01-20T00:00,1,19,2000,29.34,Papa John's,Bill Pay,Fast Food
"Wednesday, January 19, 2000",2000-01-20T00:00,1,19,2000,329.31,Zara Usa,Bill Pay,Clothing
"Wednesday, January 19, 2000",2000-01-20T00:00,1,19,2000,57.69,Safeway,CREDIT CARD,Groceries
"Thursday, January 20, 2000",2000-01-21T00:00,1,20,2000,10.66,CACTUS CAFE BR3,Credit Card,Restaurants
"Thursday, January 20, 2000",2000-01-21T00:00,1,20,2000,49.75,American Deli Mcc,Spending,Restaurants
